VALUE,CLASSNAMES,R,G,B,red,green,blue
124,Tree Cover = 24%,160,222,113,0.62745098000,0.87058823500,0.44313725500
125,Tree Cover = 25%,155,219,110,0.60784313700,0.85882352900,0.43137254900
126,Tree Cover = 26%,154,217,108,0.60392156900,0.85098039200,0.42352941200
127,Tree Cover = 27%,150,214,105,0.58823529400,0.83921568600,0.41176470600
128,Tree Cover = 28%,146,212,102,0.57254902000,0.83137254900,0.40000000000
129,Tree Cover = 29%,144,209,100,0.56470588200,0.81960784300,0.39215686300
130,Tree Cover = 30%,143,209,98,0.56078431400,0.81960784300,0.38431372500
131,Tree Cover = 31%,138,207,95,0.54117647100,0.81176470600,0.37254902000
132,Tree Cover = 32%,136,204,94,0.53333333300,0.80000000000,0.36862745100
133,Tree Cover = 33%,133,201,91,0.52156862700,0.78823529400,0.35686274500
134,Tree Cover = 34%,128,199,88,0.50196078400,0.78039215700,0.34509803900
135,Tree Cover = 35%,127,196,86,0.49803921600,0.76862745100,0.33725490200
136,Tree Cover = 36%,124,194,83,0.48627451000,0.76078431400,0.32549019600
137,Tree Cover = 37%,119,191,80,0.46666666700,0.74901960800,0.31372549000
138,Tree Cover = 38%,118,189,79,0.46274509800,0.74117647100,0.30980392200
139,Tree Cover = 39%,115,186,76,0.45098039200,0.72941176500,0.29803921600
140,Tree Cover = 40%,112,186,74,0.43921568600,0.72941176500,0.29019607800
141,Tree Cover = 41%,110,184,73,0.43137254900,0.72156862700,0.28627451000
142,Tree Cover = 42%,107,181,71,0.41960784300,0.70980392200,0.27843137300
143,Tree Cover = 43%,103,179,68,0.40392156900,0.70196078400,0.26666666700
144,Tree Cover = 44%,101,176,67,0.39607843100,0.69019607800,0.26274509800
145,Tree Cover = 45%,99,173,64,0.38823529400,0.67843137300,0.25098039200
146,Tree Cover = 46%,94,171,62,0.36862745100,0.67058823500,0.24313725500
147,Tree Cover = 47%,93,168,61,0.36470588200,0.65882352900,0.23921568600
148,Tree Cover = 48%,90,166,58,0.35294117600,0.65098039200,0.22745098000
149,Tree Cover = 49%,86,163,55,0.33725490200,0.63921568600,0.21568627500
150,Tree Cover = 50%,86,163,55,0.33725490200,0.63921568600,0.21568627500
151,Tree Cover = 51%,84,161,53,0.32941176500,0.63137254900,0.20784313700
152,Tree Cover = 52%,79,158,51,0.30980392200,0.61960784300,0.20000000000
153,Tree Cover = 53%,78,156,50,0.30588235300,0.61176470600,0.19607843100
154,Tree Cover = 54%,76,153,47,0.29803921600,0.60000000000,0.18431372500
155,Tree Cover = 55%,71,150,45,0.27843137300,0.58823529400,0.17647058800
156,Tree Cover = 56%,69,148,43,0.27058823500,0.58039215700,0.16862745100
157,Tree Cover = 57%,68,145,42,0.26666666700,0.56862745100,0.16470588200
158,Tree Cover = 58%,64,143,40,0.25098039200,0.56078431400,0.15686274500
159,Tree Cover = 59%,62,140,38,0.24313725500,0.54901960800,0.14901960800
160,Tree Cover = 60%,62,140,38,0.24313725500,0.54901960800,0.14901960800
161,Tree Cover = 61%,58,138,36,0.22745098000,0.54117647100,0.14117647100
162,Tree Cover = 62%,56,135,34,0.21960784300,0.52941176500,0.13333333300
163,Tree Cover = 63%,55,133,33,0.21568627500,0.52156862700,0.12941176500
164,Tree Cover = 64%,51,130,31,0.20000000000,0.50980392200,0.12156862700
165,Tree Cover = 65%,49,128,29,0.19215686300,0.50196078400,0.11372549000
166,Tree Cover = 66%,48,125,29,0.18823529400,0.49019607800,0.11372549000
167,Tree Cover = 67%,44,122,27,0.17254902000,0.47843137300,0.10588235300
168,Tree Cover = 68%,43,120,25,0.16862745100,0.47058823500,0.09803921600
169,Tree Cover = 69%,42,117,25,0.16470588200,0.45882352900,0.09803921600
170,Tree Cover = 70%,39,117,23,0.15294117600,0.45882352900,0.09019607800
171,Tree Cover = 71%,37,115,22,0.14509803900,0.45098039200,0.08627451000
172,Tree Cover = 72%,36,112,21,0.14117647100,0.43921568600,0.08235294100
173,Tree Cover = 73%,33,110,20,0.12941176500,0.43137254900,0.07843137300
174,Tree Cover = 74%,32,107,18,0.12549019600,0.41960784300,0.07058823500
175,Tree Cover = 75%,31,105,18,0.12156862700,0.41176470600,0.07058823500
176,Tree Cover = 76%,28,102,16,0.10980392200,0.40000000000,0.06274509800
177,Tree Cover = 77%,26,99,15,0.10196078400,0.38823529400,0.05882352900
178,Tree Cover = 78%,26,97,15,0.10196078400,0.38039215700,0.05882352900
179,Tree Cover = 79%,23,94,13,0.09019607800,0.36862745100,0.05098039200
180,Tree Cover = 80%,22,94,12,0.08627451000,0.36862745100,0.04705882400
181,Tree Cover = 81%,21,92,12,0.08235294100,0.36078431400,0.04705882400
182,Tree Cover = 82%,19,89,11,0.07450980400,0.34901960800,0.04313725500
183,Tree Cover = 83%,17,87,10,0.06666666700,0.34117647100,0.03921568600
184,Tree Cover = 84%,17,84,9,0.06666666700,0.32941176500,0.03529411800
185,Tree Cover = 85%,14,82,8,0.05490196100,0.32156862700,0.03137254900
186,Tree Cover = 86%,13,79,7,0.05098039200,0.30980392200,0.02745098000
187,Tree Cover = 87%,13,77,7,0.05098039200,0.30196078400,0.02745098000
188,Tree Cover = 88%,10,74,6,0.03921568600,0.29019607800,0.02352941200
189,Tree Cover = 89%,9,71,5,0.03529411800,0.27843137300,0.01960784300
190,Tree Cover = 90%,9,71,5,0.03529411800,0.27843137300,0.01960784300
191,Tree Cover = 91%,7,69,4,0.02745098000,0.27058823500,0.01568627500
192,Tree Cover = 92%,6,66,3,0.02352941200,0.25882352900,0.01176470600
193,Tree Cover = 93%,6,64,3,0.02352941200,0.25098039200,0.01176470600
194,Tree Cover = 94%,4,61,2,0.01568627500,0.23921568600,0.00784313700
195,Tree Cover = 95%,4,59,2,0.01568627500,0.23137254900,0.00784313700
196,Tree Cover = 96%,3,56,2,0.01176470600,0.21960784300,0.00784313700
197,Tree Cover = 97%,2,54,1,0.00784313700,0.21176470600,0.00392156900
198,Tree Cover = 98%,1,51,1,0.00392156900,0.20000000000,0.00392156900
199,Tree Cover >= 99%,0,51,0,0.00000000000,0.20000000000,0.00000000000
210,Shrub Cover = 10%,212,178,125,0.83137254900,0.69803921600,0.49019607800
211,Shrub Cover = 11%,212,176,123,0.83137254900,0.69019607800,0.48235294100
212,Shrub Cover = 12%,212,175,123,0.83137254900,0.68627451000,0.48235294100
213,Shrub Cover = 13%,212,174,121,0.83137254900,0.68235294100,0.47450980400
214,Shrub Cover = 14%,209,170,119,0.81960784300,0.66666666700,0.46666666700
215,Shrub Cover = 15%,209,168,117,0.81960784300,0.65882352900,0.45882352900
216,Shrub Cover = 16%,209,166,117,0.81960784300,0.65098039200,0.45882352900
217,Shrub Cover = 17%,209,165,115,0.81960784300,0.64705882400,0.45098039200
218,Shrub Cover = 18%,209,164,115,0.81960784300,0.64313725500,0.45098039200
219,Shrub Cover = 19%,209,161,113,0.81960784300,0.63137254900,0.44313725500
220,Shrub Cover = 20%,207,159,112,0.81176470600,0.62352941200,0.43921568600
221,Shrub Cover = 21%,207,156,109,0.81176470600,0.61176470600,0.42745098000
222,Shrub Cover = 22%,207,155,109,0.81176470600,0.60784313700,0.42745098000
223,Shrub Cover = 23%,207,154,107,0.81176470600,0.60392156900,0.41960784300
224,Shrub Cover = 24%,207,152,107,0.81176470600,0.59607843100,0.41960784300
225,Shrub Cover = 25%,207,151,105,0.81176470600,0.59215686300,0.41176470600
226,Shrub Cover = 26%,204,147,104,0.80000000000,0.57647058800,0.40784313700
227,Shrub Cover = 27%,204,146,102,0.80000000000,0.57254902000,0.40000000000
228,Shrub Cover = 28%,204,145,102,0.80000000000,0.56862745100,0.40000000000
229,Shrub Cover = 29%,204,142,100,0.80000000000,0.55686274500,0.39215686300
230,Shrub Cover = 30%,204,142,100,0.80000000000,0.55686274500,0.39215686300
231,Shrub Cover = 31%,201,137,97,0.78823529400,0.53725490200,0.38039215700
232,Shrub Cover = 32%,201,137,97,0.78823529400,0.53725490200,0.38039215700
233,Shrub Cover = 33%,201,134,95,0.78823529400,0.52549019600,0.37254902000
234,Shrub Cover = 34%,201,134,95,0.78823529400,0.52549019600,0.37254902000
235,Shrub Cover = 35%,201,132,95,0.78823529400,0.51764705900,0.37254902000
236,Shrub Cover = 36%,199,129,91,0.78039215700,0.50588235300,0.35686274500
237,Shrub Cover = 37%,199,127,91,0.78039215700,0.49803921600,0.35686274500
238,Shrub Cover = 38%,199,126,90,0.78039215700,0.49411764700,0.35294117600
239,Shrub Cover = 39%,199,126,90,0.78039215700,0.49411764700,0.35294117600
240,Shrub Cover = 40%,199,123,88,0.78039215700,0.48235294100,0.34509803900
241,Shrub Cover = 41%,196,121,86,0.76862745100,0.47450980400,0.33725490200
242,Shrub Cover = 42%,196,118,84,0.76862745100,0.46274509800,0.32941176500
243,Shrub Cover = 43%,196,118,84,0.76862745100,0.46274509800,0.32941176500
244,Shrub Cover = 44%,196,115,82,0.76862745100,0.45098039200,0.32156862700
245,Shrub Cover = 45%,196,115,82,0.76862745100,0.45098039200,0.32156862700
246,Shrub Cover = 46%,194,110,79,0.76078431400,0.43137254900,0.30980392200
247,Shrub Cover = 47%,194,110,79,0.76078431400,0.43137254900,0.30980392200
248,Shrub Cover = 48%,194,110,79,0.76078431400,0.43137254900,0.30980392200
249,Shrub Cover = 49%,194,107,78,0.76078431400,0.41960784300,0.30588235300
250,Shrub Cover = 50%,191,105,77,0.74901960800,0.41176470600,0.30196078400
251,Shrub Cover = 51%,191,102,75,0.74901960800,0.40000000000,0.29411764700
252,Shrub Cover = 52%,191,102,75,0.74901960800,0.40000000000,0.29411764700
253,Shrub Cover = 53%,191,100,73,0.74901960800,0.39215686300,0.28627451000
254,Shrub Cover = 54%,189,97,72,0.74117647100,0.38039215700,0.28235294100
255,Shrub Cover = 55%,189,96,70,0.74117647100,0.37647058800,0.27450980400
256,Shrub Cover = 56%,189,94,70,0.74117647100,0.36862745100,0.27450980400
257,Shrub Cover = 57%,189,94,70,0.74117647100,0.36862745100,0.27450980400
258,Shrub Cover = 58%,189,92,68,0.74117647100,0.36078431400,0.26666666700
259,Shrub Cover = 59%,186,89,67,0.72941176500,0.34901960800,0.26274509800
260,Shrub Cover = 60%,186,87,65,0.72941176500,0.34117647100,0.25490196100
261,Shrub Cover = 61%,186,85,65,0.72941176500,0.33333333300,0.25490196100
262,Shrub Cover = 62%,186,84,63,0.72941176500,0.32941176500,0.24705882400
263,Shrub Cover = 63%,184,83,62,0.72156862700,0.32549019600,0.24313725500
264,Shrub Cover = 64%,184,81,62,0.72156862700,0.31764705900,0.24313725500
265,Shrub Cover = 65%,184,79,61,0.72156862700,0.30980392200,0.23921568600
266,Shrub Cover = 66%,181,76,60,0.70980392200,0.29803921600,0.23529411800
267,Shrub Cover = 67%,181,74,58,0.70980392200,0.29019607800,0.22745098000
268,Shrub Cover = 68%,181,74,58,0.70980392200,0.29019607800,0.22745098000
269,Shrub Cover = 69%,181,72,58,0.70980392200,0.28235294100,0.22745098000
270,Shrub Cover = 70%,179,70,55,0.70196078400,0.27450980400,0.21568627500
271,Shrub Cover = 71%,179,68,55,0.70196078400,0.26666666700,0.21568627500
272,Shrub Cover = 72%,179,66,54,0.70196078400,0.25882352900,0.21176470600
273,Shrub Cover = 73%,179,64,54,0.70196078400,0.25098039200,0.21176470600
274,Shrub Cover = 74%,176,63,53,0.69019607800,0.24705882400,0.20784313700
275,Shrub Cover = 75%,176,61,51,0.69019607800,0.23921568600,0.20000000000
276,Shrub Cover = 76%,176,59,51,0.69019607800,0.23137254900,0.20000000000
277,Shrub Cover = 77%,176,58,49,0.69019607800,0.22745098000,0.19215686300
278,Shrub Cover = 78%,173,55,49,0.67843137300,0.21568627500,0.19215686300
279,Shrub Cover = 79%,173,55,49,0.67843137300,0.21568627500,0.19215686300
280,Shrub Cover = 80%,173,51,47,0.67843137300,0.20000000000,0.18431372500
281,Shrub Cover = 81%,171,50,46,0.67058823500,0.19607843100,0.18039215700
282,Shrub Cover = 82%,171,47,44,0.67058823500,0.18431372500,0.17254902000
283,Shrub Cover = 83%,171,47,44,0.67058823500,0.18431372500,0.17254902000
284,Shrub Cover = 84%,171,44,44,0.67058823500,0.17254902000,0.17254902000
285,Shrub Cover = 85%,168,42,42,0.65882352900,0.16470588200,0.16470588200
286,Shrub Cover = 86%,168,40,43,0.65882352900,0.15686274500,0.16862745100
287,Shrub Cover = 87%,168,39,41,0.65882352900,0.15294117600,0.16078431400
288,Shrub Cover = 88%,166,36,41,0.65098039200,0.14117647100,0.16078431400
289,Shrub Cover = 89%,166,35,39,0.65098039200,0.13725490200,0.15294117600
290,Shrub Cover = 90%,166,31,38,0.65098039200,0.12156862700,0.14901960800
291,Shrub Cover = 91%,163,29,36,0.63921568600,0.11372549000,0.14117647100
292,Shrub Cover = 92%,163,28,37,0.63921568600,0.10980392200,0.14509803900
293,Shrub Cover = 93%,163,24,36,0.63921568600,0.09411764700,0.14117647100
294,Shrub Cover = 94%,163,23,37,0.63921568600,0.09019607800,0.14509803900
295,Shrub Cover = 95%,161,19,33,0.63137254900,0.07450980400,0.12941176500
296,Shrub Cover = 96%,161,16,33,0.63137254900,0.06274509800,0.12941176500
297,Shrub Cover = 97%,161,13,33,0.63137254900,0.05098039200,0.12941176500
298,Shrub Cover = 98%,158,9,32,0.61960784300,0.03529411800,0.12549019600
299,Shrub Cover >= 99%,158,0,32,0.61960784300,0.00000000000,0.12549019600
310,Herb Cover = 10%,255,204,102,1.00000000000,0.80000000000,0.40000000000
311,Herb Cover = 11%,255,204,102,1.00000000000,0.80000000000,0.40000000000
312,Herb Cover = 12%,255,201,102,1.00000000000,0.78823529400,0.40000000000
313,Herb Cover = 13%,255,201,102,1.00000000000,0.78823529400,0.40000000000
314,Herb Cover = 14%,255,201,99,1.00000000000,0.78823529400,0.38823529400
315,Herb Cover = 15%,255,198,99,1.00000000000,0.77647058800,0.38823529400
316,Herb Cover = 16%,255,197,97,1.00000000000,0.77254902000,0.38039215700
317,Herb Cover = 17%,255,197,97,1.00000000000,0.77254902000,0.38039215700
318,Herb Cover = 18%,255,193,94,1.00000000000,0.75686274500,0.36862745100
319,Herb Cover = 19%,255,193,94,1.00000000000,0.75686274500,0.36862745100
320,Herb Cover = 20%,255,192,92,1.00000000000,0.75294117600,0.36078431400
321,Herb Cover = 21%,255,190,92,1.00000000000,0.74509803900,0.36078431400
322,Herb Cover = 22%,255,190,92,1.00000000000,0.74509803900,0.36078431400
323,Herb Cover = 23%,255,189,89,1.00000000000,0.74117647100,0.34901960800
324,Herb Cover = 24%,255,186,89,1.00000000000,0.72941176500,0.34901960800
325,Herb Cover = 25%,255,185,87,1.00000000000,0.72549019600,0.34117647100
326,Herb Cover = 26%,255,185,87,1.00000000000,0.72549019600,0.34117647100
327,Herb Cover = 27%,255,181,84,1.00000000000,0.70980392200,0.32941176500
328,Herb Cover = 28%,255,181,84,1.00000000000,0.70980392200,0.32941176500
329,Herb Cover = 29%,255,180,82,1.00000000000,0.70588235300,0.32156862700
330,Herb Cover = 30%,255,177,82,1.00000000000,0.69411764700,0.32156862700
331,Herb Cover = 31%,255,176,79,1.00000000000,0.69019607800,0.30980392200
332,Herb Cover = 32%,255,176,79,1.00000000000,0.69019607800,0.30980392200
333,Herb Cover = 33%,255,173,79,1.00000000000,0.67843137300,0.30980392200
334,Herb Cover = 34%,255,172,77,1.00000000000,0.67450980400,0.30196078400
335,Herb Cover = 35%,255,172,77,1.00000000000,0.67450980400,0.30196078400
336,Herb Cover = 36%,255,171,74,1.00000000000,0.67058823500,0.29019607800
337,Herb Cover = 37%,255,167,74,1.00000000000,0.65490196100,0.29019607800
338,Herb Cover = 38%,255,166,71,1.00000000000,0.65098039200,0.27843137300
339,Herb Cover = 39%,255,166,71,1.00000000000,0.65098039200,0.27843137300
340,Herb Cover = 40%,255,162,69,1.00000000000,0.63529411800,0.27058823500
341,Herb Cover = 41%,255,162,69,1.00000000000,0.63529411800,0.27058823500
342,Herb Cover = 42%,255,161,66,1.00000000000,0.63137254900,0.25882352900
343,Herb Cover = 43%,255,158,66,1.00000000000,0.61960784300,0.25882352900
344,Herb Cover = 44%,255,158,66,1.00000000000,0.61960784300,0.25882352900
345,Herb Cover = 45%,255,156,64,1.00000000000,0.61176470600,0.25098039200
346,Herb Cover = 46%,255,153,64,1.00000000000,0.60000000000,0.25098039200
347,Herb Cover = 47%,255,152,61,1.00000000000,0.59607843100,0.23921568600
348,Herb Cover = 48%,255,152,61,1.00000000000,0.59607843100,0.23921568600
349,Herb Cover = 49%,255,147,59,1.00000000000,0.57647058800,0.23137254900
350,Herb Cover = 50%,255,147,59,1.00000000000,0.57647058800,0.23137254900
351,Herb Cover = 51%,255,146,56,1.00000000000,0.57254902000,0.21960784300
352,Herb Cover = 52%,255,142,56,1.00000000000,0.55686274500,0.21960784300
353,Herb Cover = 53%,255,141,54,1.00000000000,0.55294117600,0.21176470600
354,Herb Cover = 54%,255,141,54,1.00000000000,0.55294117600,0.21176470600
355,Herb Cover = 55%,255,137,54,1.00000000000,0.53725490200,0.21176470600
356,Herb Cover = 56%,255,136,51,1.00000000000,0.53333333300,0.20000000000
357,Herb Cover = 57%,255,136,51,1.00000000000,0.53333333300,0.20000000000
358,Herb Cover = 58%,255,135,48,1.00000000000,0.52941176500,0.18823529400
359,Herb Cover = 59%,255,131,48,1.00000000000,0.51372549000,0.18823529400
360,Herb Cover = 60%,255,130,46,1.00000000000,0.50980392200,0.18039215700
361,Herb Cover = 61%,255,130,46,1.00000000000,0.50980392200,0.18039215700
362,Herb Cover = 62%,255,124,43,1.00000000000,0.48627451000,0.16862745100
363,Herb Cover = 63%,255,124,43,1.00000000000,0.48627451000,0.16862745100
364,Herb Cover = 64%,255,123,41,1.00000000000,0.48235294100,0.16078431400
365,Herb Cover = 65%,255,119,41,1.00000000000,0.46666666700,0.16078431400
366,Herb Cover = 66%,255,119,41,1.00000000000,0.46666666700,0.16078431400
367,Herb Cover = 67%,255,118,38,1.00000000000,0.46274509800,0.14901960800
368,Herb Cover = 68%,255,114,38,1.00000000000,0.44705882400,0.14901960800
369,Herb Cover = 69%,255,112,36,1.00000000000,0.43921568600,0.14117647100
370,Herb Cover = 70%,255,112,36,1.00000000000,0.43921568600,0.14117647100
371,Herb Cover = 71%,255,107,33,1.00000000000,0.41960784300,0.12941176500
372,Herb Cover = 72%,255,107,33,1.00000000000,0.41960784300,0.12941176500
373,Herb Cover = 73%,255,105,31,1.00000000000,0.41176470600,0.12156862700
374,Herb Cover = 74%,255,102,31,1.00000000000,0.40000000000,0.12156862700
375,Herb Cover = 75%,255,100,28,1.00000000000,0.39215686300,0.10980392200
376,Herb Cover = 76%,255,100,28,1.00000000000,0.39215686300,0.10980392200
377,Herb Cover = 77%,255,100,28,1.00000000000,0.39215686300,0.10980392200
378,Herb Cover = 78%,255,94,25,1.00000000000,0.36862745100,0.09803921600
379,Herb Cover = 79%,255,94,25,1.00000000000,0.36862745100,0.09803921600
380,Herb Cover = 80%,255,93,23,1.00000000000,0.36470588200,0.09019607800
381,Herb Cover = 81%,255,89,23,1.00000000000,0.34901960800,0.09019607800
382,Herb Cover = 82%,255,87,20,1.00000000000,0.34117647100,0.07843137300
383,Herb Cover = 83%,255,87,20,1.00000000000,0.34117647100,0.07843137300
384,Herb Cover = 84%,255,81,18,1.00000000000,0.31764705900,0.07058823500
385,Herb Cover = 85%,255,81,18,1.00000000000,0.31764705900,0.07058823500
386,Herb Cover = 86%,255,79,15,1.00000000000,0.30980392200,0.05882352900
387,Herb Cover = 87%,255,75,15,1.00000000000,0.29411764700,0.05882352900
388,Herb Cover = 88%,255,75,15,1.00000000000,0.29411764700,0.05882352900
389,Herb Cover = 89%,255,73,13,1.00000000000,0.28627451000,0.05098039200
390,Herb Cover = 90%,255,69,13,1.00000000000,0.27058823500,0.05098039200
391,Herb Cover = 91%,255,67,10,1.00000000000,0.26274509800,0.03921568600
392,Herb Cover = 92%,255,67,10,1.00000000000,0.26274509800,0.03921568600
393,Herb Cover = 93%,255,61,8,1.00000000000,0.23921568600,0.03137254900
394,Herb Cover = 94%,255,61,8,1.00000000000,0.23921568600,0.03137254900
395,Herb Cover = 95%,255,59,5,1.00000000000,0.23137254900,0.01960784300
396,Herb Cover = 96%,255,55,5,1.00000000000,0.21568627500,0.01960784300
397,Herb Cover = 97%,255,53,3,1.00000000000,0.20784313700,0.01176470600
398,Herb Cover = 98%,255,53,3,1.00000000000,0.20784313700,0.01176470600
399,Herb Cover >= 99%,255,51,0,1.00000000000,0.20000000000,0.00000000000
