VALUE,EVT_Name,LFRDB,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
9160,North Pacific Active Volcanic Rock and Cinder Land,9160,2003,Sps North Pacific Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
7734,North Pacific Alpine and Subalpine Bedrock and Scree,7734,2003,Sps North Pacific Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
7733,North Pacific Montane Massive Bedrock-Cliff and Talus,7733,2003,Sps North Pacific Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9145,North American Warm Desert Active and Stabilized Dune,9145,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9146,North American Warm Desert Badland,9146,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9147,North American Warm Desert Bedrock Cliff and Outcrop,9147,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9150,North American Warm Desert Pavement,9150,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9151,North American Warm Desert Playa,9151,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9153,North American Warm Desert Volcanic Rockland,9153,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9126,Mediterranean California Coastal Bluff,9126,2005,Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9130,Mediterranean California Northern Coastal Dune,9130,2005,Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9134,Mediterranean California Southern Coastal Dune,9134,2005,Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9171,North Pacific Maritime Coastal Sand Dune and Strand,9171,2005,Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
