CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue,VALUE
Mediterranean California Alpine Fell-Field,2067.000000,Sh Mediterranean California Alpine Fell-Field,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,255.000000,211.000000,119.000000,1.000000,0.827451,0.466667,3067
North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,2068.000000,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 108: Alpine Idaho Fescue,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,181.000000,156.000000,114.000000,0.709804,0.611765,0.447059,3068
Rocky Mountain Alpine Dwarf-Shrubland,2070.000000,Sh Rocky Mountain Alpine Dwarf-Shrubland,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 410: Alpine Rangeland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,171.000000,145.000000,106.000000,0.670588,0.568627,0.415686,3070
Sierra Nevada Alpine Dwarf-Shrubland,2071.000000,Sh Sierra Nevada Alpine Dwarf-Shrubland,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,255.000000,211.000000,119.000000,1.000000,0.827451,0.466667,3071
Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,2072.000000,Sh Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrub,623,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 405: Black Sagebrush,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,204.000000,182.000000,135.000000,0.800000,0.713725,0.529412,3072
Chihuahuan Creosotebush Desert Scrub,2074.000000,Sh Chihuahuan Creosotebush Desert Scrub,Shrub,611,Shrubland,Creosotebush Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,161.000000,134.000000,96.000000,0.631373,0.525490,0.376471,3074
Chihuahuan Mixed Salt Desert Scrub,2075.000000,Sh Chihuahuan Mixed Salt Desert Scrub,Shrub,636,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,156.000000,128.000000,92.000000,0.611765,0.501961,0.360784,3075
Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,2076.000000,Sh Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150.000000,123.000000,89.000000,0.588235,0.482353,0.349020,3076
Chihuahuan Succulent Desert Scrub,2077.000000,Sh Chihuahuan Succulent Desert Scrub,Shrub,641,Shrubland,Succulent Desert Scrub,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland,145.000000,117.000000,84.000000,0.568627,0.458824,0.329412,3077
Colorado Plateau Blackbrush-Mormon-tea Shrubland,2078.000000,Sh Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrub,606,Shrubland,Blackbrush Shrubland,SRM 212: Blackbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,140.000000,112.000000,80.000000,0.549020,0.439216,0.313725,3078
Great Basin Xeric Mixed Sagebrush Shrubland,2079.000000,Sh Great Basin Xeric Mixed Sagebrush Shrubland,Shrub,623,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 406: Low Sagebrush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,135.000000,106.000000,76.000000,0.529412,0.415686,0.298039,3079
Inter-Mountain Basins Big Sagebrush Shrubland,2080.000000,Sh Inter-Mountain Basins Big Sagebrush Shrubland,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Shrubland,Evergreen shrubland,130.000000,101.000000,72.000000,0.509804,0.396078,0.282353,3080
Inter-Mountain Basins Mixed Salt Desert Scrub,2081.000000,Sh Inter-Mountain Basins Mixed Salt Desert Scrub,Shrub,636,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,156.000000,128.000000,92.000000,0.611765,0.501961,0.360784,3081
Mojave Mid-Elevation Mixed Desert Scrub,2082.000000,Sh Mojave Mid-Elevation Mixed Desert Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 212: Blackbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,140.000000,112.000000,80.000000,0.549020,0.439216,0.313725,3082
North Pacific Avalanche Chute Shrubland,2083.000000,Sh North Pacific Avalanche Chute Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,128.000000,97.000000,69.000000,0.501961,0.380392,0.270588,3083
North Pacific Montane Shrubland,2084.000000,Sh North Pacific Montane Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,128.000000,97.000000,69.000000,0.501961,0.380392,0.270588,3084
Northwestern Great Plains Shrubland,2085.000000,Sh Northwestern Great Plains Shrubland,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 612: Sagebrush-Grass,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,122.000000,93.000000,65.000000,0.478431,0.364706,0.254902,3085
Rocky Mountain Lower Montane-Foothill Shrubland,2086.000000,Sh Rocky Mountain Lower Montane-Foothill Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,117.000000,87.000000,61.000000,0.458824,0.341176,0.239216,3086
Sonora-Mojave Creosotebush-White Bursage Desert Scrub,2087.000000,Sh Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrub,611,Shrubland,Creosotebush Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,161.000000,134.000000,96.000000,0.631373,0.525490,0.376471,3087
Sonora-Mojave Mixed Salt Desert Scrub,2088.000000,Sh Sonora-Mojave Mixed Salt Desert Scrub,Shrub,636,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,156.000000,128.000000,92.000000,0.611765,0.501961,0.360784,3088
Sonoran Granite Outcrop Desert Scrub,2090.000000,Sh Sonoran Granite Outcrop Desert Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,161.000000,134.000000,96.000000,0.631373,0.525490,0.376471,3090
Sonoran Mid-Elevation Desert Scrub,2091.000000,Sh Sonoran Mid-Elevation Desert Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,161.000000,134.000000,96.000000,0.631373,0.525490,0.376471,3091
Southern California Coastal Scrub,2092.000000,Sh Southern California Coastal Scrub,Shrub,609,Shrubland,Pacific Coastal Scrub,SRM 205: Coastal Sage Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,166.000000,139.000000,107.000000,0.650980,0.545098,0.419608,3092
Southern Colorado Plateau Sand Shrubland,2093.000000,Sh Southern Colorado Plateau Sand Shrubland,Shrub,637,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,112.000000,82.000000,57.000000,0.439216,0.321569,0.223529,3093
Western Great Plains Sandhill Shrubland,2094.000000,Sh Western Great Plains Sandhill Steppe,Shrub,637,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,112.000000,82.000000,57.000000,0.439216,0.321569,0.223529,3094
Apacherian-Chihuahuan Mesquite Upland Scrub,2095.000000,Sh Apacherian-Chihuahuan Mesquite Upland Scrub,Shrub,624,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150.000000,123.000000,89.000000,0.588235,0.482353,0.349020,3095
California Maritime Chaparral,2096.000000,Sh California Maritime Chaparral,Shrub,607,Shrubland,Chaparral,SRM 208: Ceanothus Mixed Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,107.000000,77.000000,54.000000,0.419608,0.301961,0.211765,3096
California Mesic Chaparral,2097.000000,Sh California Mesic Chaparral,Shrub,607,Shrubland,Chaparral,SRM 207: Scrub Oak Mixed Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,59.000000,30.000000,19.000000,0.231373,0.117647,0.074510,3097
California Montane Woodland and Chaparral,2098.000000,Sh California Montane Woodland and Chaparral,Shrub,607,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland,66.000000,37.000000,24.000000,0.258824,0.145098,0.094118,3098
California Xeric Serpentine Chaparral,2099.000000,Sh California Xeric Serpentine Chaparral,Shrub,607,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland,66.000000,37.000000,24.000000,0.258824,0.145098,0.094118,3099
Chihuahuan Mixed Desert and Thornscrub,2100.000000,Sh Chihuahuan Mixed Desert and Thornscrub,Shrub,613,Shrubland,Desert Scrub,SRM 508: Creosotebush-Tarbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,74.000000,44.000000,29.000000,0.290196,0.172549,0.113725,3100
Madrean Oriental Chaparral,2101.000000,Sh Madrean Oriental Chaparral,Shrub,607,Shrubland,Chaparral,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland,145.000000,117.000000,84.000000,0.568627,0.458824,0.329412,3101
Great Basin Semi-Desert Chaparral,2103.000000,Sh Great Basin Semi-Desert Chaparral,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89.000000,59.000000,40.000000,0.349020,0.231373,0.156863,3103
Mogollon Chaparral,2104.000000,Sh Mogollon Chaparral,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89.000000,59.000000,40.000000,0.349020,0.231373,0.156863,3104
Northern and Central California Dry-Mesic Chaparral,2105.000000,Sh Northern and Central California Dry-Mesic Chaparral,Shrub,607,Shrubland,Chaparral,SRM 206: Chamise Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,99.000000,69.000000,47.000000,0.388235,0.270588,0.184314,3105
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,2106.000000,Sh Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,117.000000,87.000000,61.000000,0.458824,0.341176,0.239216,3106
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,2107.000000,Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,245.000000,175.000000,54.000000,0.960784,0.686275,0.211765,3107
Sonora-Mojave Semi-Desert Chaparral,2108.000000,Sh Sonora-Mojave Semi-Desert Chaparral,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89.000000,59.000000,40.000000,0.349020,0.231373,0.156863,3108
Sonoran Paloverde-Mixed Cacti Desert Scrub,2109.000000,Sh Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 507: Palo Verde-Cactus,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,242.000000,168.000000,48.000000,0.949020,0.658824,0.188235,3109
Southern California Dry-Mesic Chaparral,2110.000000,Sh Southern California Dry-Mesic Chaparral,Shrub,607,Shrubland,Chaparral,SRM 206: Chamise Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,99.000000,69.000000,47.000000,0.388235,0.270588,0.184314,3110
Western Great Plains Mesquite Woodland,2111.000000,Tr Western Great Plains Mesquite Woodland and Shrubland,Tree,624,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150.000000,123.000000,89.000000,0.588235,0.482353,0.349020,3111
California Central Valley Mixed Oak Savanna,2112.000000,Tr California Central Valley Mixed Oak Savanna,Tree,629,Hardwood,Western Oak Woodland and Savanna,SRM 201: Blue Oak Woodland,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,138.000000,227.000000,212.000000,0.541176,0.890196,0.831373,3112
California Coastal Live Oak Woodland and Savanna,2113.000000,Tr California Coastal Live Oak Woodland and Savanna,Tree,629,Hardwood,Western Oak Woodland and Savanna,SAF 255: California Coast Live Oak,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,131.000000,222.000000,110.000000,0.513725,0.870588,0.431373,3113
California Lower Montane Foothill Pine Woodland and Savanna,2114.000000,Tr California Lower Montane Foothill Pine Woodland and Savanna,Tree,610,Conifer,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,121.000000,217.000000,207.000000,0.474510,0.850980,0.811765,3114
Inter-Mountain Basins Juniper Savanna,2115.000000,Tr Inter-Mountain Basins Juniper Savanna,Tree,620,Conifer,Juniper Woodland and Savanna,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,78.000000,255.000000,59.000000,0.305882,1.000000,0.231373,3115
Madrean Juniper Savanna,2116.000000,Tr Madrean Juniper Savanna,Tree,620,Conifer,Juniper Woodland and Savanna,SRM 735: Sideoats Grama-Sumac-Juniper,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,145.000000,117.000000,84.000000,0.568627,0.458824,0.329412,3116
Southern Rocky Mountain Ponderosa Pine Savanna,2117.000000,Tr Southern Rocky Mountain Ponderosa Pine Savanna,Tree,631,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,214.000000,255.000000,181.000000,0.839216,1.000000,0.709804,3117
Southern California Oak Woodland and Savanna,2118.000000,Tr Southern California Oak Woodland and Savanna,Tree,629,Hardwood,Western Oak Woodland and Savanna,SAF 255: California Coast Live Oak,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,131.000000,222.000000,110.000000,0.513725,0.870588,0.431373,3118
Southern Rocky Mountain Juniper Woodland and Savanna,2119.000000,Tr Southern Rocky Mountain Juniper Woodland and Savanna,Tree,620,Conifer,Juniper Woodland and Savanna,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,121.000000,255.000000,94.000000,0.474510,1.000000,0.368627,3119
Willamette Valley Upland Prairie and Savanna,2120.000000,Tr Willamette Valley Upland Prairie and Savanna,Tree,629,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,203.000000,255.000000,171.000000,0.796078,1.000000,0.670588,3120
Apacherian-Chihuahuan Semi-Desert Shrubland,2121.000000,Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Shrub,618,Shrubland,Grassland and Steppe,SRM 505: Grama-Tobosa Shrub,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,255.000000,204.000000,51.000000,1.000000,0.800000,0.200000,3121
Chihuahuan Gypsophilous Grassland and Steppe,2122.000000,Sh Chihuahuan Gypsophilous Grassland and Steppe,Shrub,618,Shrubland,Grassland and Steppe,SRM 505: Grama-Tobosa Shrub,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,255.000000,204.000000,51.000000,1.000000,0.800000,0.200000,3122
Columbia Plateau Steppe and Grassland,2123.000000,He Columbia Plateau Steppe and Grassland,Herb,618,Shrubland,Grassland and Steppe,SRM 106: Bluegrass Scabland,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,199.000000,176.000000,129.000000,0.780392,0.690196,0.505882,3123
Columbia Plateau Low Sagebrush Steppe,2124.000000,Sh Columbia Plateau Low Sagebrush Steppe,Shrub,623,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 406: Low Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,135.000000,106.000000,76.000000,0.529412,0.415686,0.298039,3124
Inter-Mountain Basins Big Sagebrush Steppe,2125.000000,Sh Inter-Mountain Basins Big Sagebrush Steppe,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,230.000000,151.000000,41.000000,0.901961,0.592157,0.160784,3125
Inter-Mountain Basins Montane Sagebrush Steppe,2126.000000,Sh Inter-Mountain Basins Montane Sagebrush Steppe,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 402: Mountain Big Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,219.000000,140.000000,37.000000,0.858824,0.549020,0.145098,3126
Inter-Mountain Basins Semi-Desert Shrub-Steppe,2127.000000,Sh Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrub,613,Shrubland,Desert Scrub,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,130.000000,101.000000,72.000000,0.509804,0.396078,0.282353,3127
Northern California Coastal Scrub,2128.000000,Sh Northern California Coastal Scrub,Shrub,609,Shrubland,Pacific Coastal Scrub,SRM 204: Northern Coastal Shrub,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,201.000000,116.000000,30.000000,0.788235,0.454902,0.117647,3128
California Central Valley and Southern Coastal Grassland,2129.000000,He California Central Valley and Southern Coastal Grassland,Herb,617,Grassland,Grassland,SRM 215: Valley Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,235.000000,153.000000,1.000000,0.921569,0.600000,3129
California Mesic Serpentine Grassland,2130.000000,He California Mesic Serpentine Grassland,Herb,617,Grassland,Grassland,SRM 215: Valley Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,235.000000,153.000000,1.000000,0.921569,0.600000,3130
California Northern Coastal Grassland,2131.000000,He California Northern Coastal Grassland,Herb,617,Grassland,Grassland,SRM 214: Coastal Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,248.000000,148.000000,1.000000,0.972549,0.580392,3131
Central Mixedgrass Prairie Grassland,2132.000000,Sh Central Mixedgrass Prairie,Herb,646,Grassland,Mixedgrass Prairie,SRM 704: Blue Grama-Western Wheatgrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,241.000000,140.000000,1.000000,0.945098,0.549020,3132
Chihuahuan Sandy Plains Semi-Desert Grassland,2133.000000,He Chihuahuan Sandy Plains Semi-Desert Grassland,Herb,617,Grassland,Grassland,SRM 713: Grama-Muhly-Threeawn,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,233.000000,135.000000,1.000000,0.913725,0.529412,3133
Columbia Basin Foothill and Canyon Dry Grassland,2134.000000,He Columbia Basin Foothill and Canyon Dry Grassland,Herb,617,Grassland,Grassland,SRM 101: Bluebunch Wheatgrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,226.000000,130.000000,1.000000,0.886275,0.509804,3134
