site,severity,evh,n
GRNCAR,unb,119,1
GRNCAR,unb,120,1
GRNCAR,unb,122,1
GRNCAR,unb,123,6
GRNCAR,unb,124,5
GRNCAR,unb,125,2
GRNCAR,unb,126,11
GRNCAR,unb,127,20
GRNCAR,unb,128,14
GRNCAR,unb,129,24
GRNCAR,unb,130,32
GRNCAR,unb,131,39
GRNCAR,unb,132,23
GRNCAR,unb,133,28
GRNCAR,unb,134,17
GRNCAR,unb,135,9
GRNCAR,unb,136,10
GRNCAR,unb,137,11
GRNCAR,unb,138,5
GRNCAR,unb,139,25
GRNDAM,unb,111,1
GRNDAM,unb,112,3
GRNDAM,unb,113,4
GRNDAM,unb,114,1
GRNDAM,unb,115,1
GRNDAM,unb,116,4
GRNDAM,unb,117,2
GRNDAM,unb,118,4
GRNDAM,unb,119,4
GRNDAM,unb,120,12
GRNDAM,unb,121,8
GRNDAM,unb,122,27
GRNDAM,unb,123,24
GRNDAM,unb,124,42
GRNDAM,unb,125,41
GRNDAM,unb,126,34
GRNDAM,unb,127,30
GRNDAM,unb,128,11
GRNDAM,unb,129,8
GRNDAM,unb,130,7
GRNDAM,unb,131,2
GRNDAM,unb,132,2
GRNDAM,unb,133,2
GRNDAM,unb,134,1
GRNDAM,unb,135,2
GRNDAM,unb,137,1
GRNDAM,unb,138,1
GRNDAM,unb,139,1
GRNDAM,unb,212,1
GRNDAM,unb,214,1
GRNHOU,unb,114,1
GRNHOU,unb,115,1
GRNHOU,unb,116,1
GRNHOU,unb,117,3
GRNHOU,unb,118,3
GRNHOU,unb,119,6
GRNHOU,unb,120,12
GRNHOU,unb,121,15
GRNHOU,unb,122,23
GRNHOU,unb,123,34
GRNHOU,unb,124,31
GRNHOU,unb,125,31
GRNHOU,unb,126,31
GRNHOU,unb,127,29
GRNHOU,unb,128,23
GRNHOU,unb,129,7
GRNHOU,unb,130,7
GRNHOU,unb,131,7
GRNHOU,unb,132,3
GRNHOU,unb,133,3
GRNHOU,unb,135,1
GRNHOU,unb,138,1
GRNHOU,unb,139,1
GRNKAN,unb,114,1
GRNKAN,unb,117,1
GRNKAN,unb,118,2
GRNKAN,unb,120,4
GRNKAN,unb,121,2
GRNKAN,unb,122,2
GRNKAN,unb,123,9
GRNKAN,unb,124,7
GRNKAN,unb,125,9
GRNKAN,unb,126,22
GRNKAN,unb,127,15
GRNKAN,unb,128,22
GRNKAN,unb,129,17
GRNKAN,unb,130,27
GRNKAN,unb,131,19
GRNKAN,unb,132,16
GRNKAN,unb,133,24
GRNKAN,unb,134,14
GRNKAN,unb,135,12
GRNKAN,unb,136,10
GRNKAN,unb,137,9
GRNKAN,unb,138,7
GRNKAN,unb,139,28
GRNKAN,unb,223,1
GRNMAS,unb,100,9
GRNMAS,unb,109,1
GRNMAS,unb,110,1
GRNMAS,unb,112,2
GRNMAS,unb,113,3
GRNMAS,unb,114,6
GRNMAS,unb,115,5
GRNMAS,unb,116,5
GRNMAS,unb,117,14
GRNMAS,unb,118,15
GRNMAS,unb,119,24
GRNMAS,unb,120,14
GRNMAS,unb,121,14
GRNMAS,unb,122,22
GRNMAS,unb,123,28
GRNMAS,unb,124,21
GRNMAS,unb,125,17
GRNMAS,unb,126,13
GRNMAS,unb,127,15
GRNMAS,unb,128,9
GRNMAS,unb,129,6
GRNMAS,unb,130,3
GRNMAS,unb,131,1
GRNMAS,unb,132,1
GRNMAS,unb,134,1
GRNMAS,unb,135,1
GRNMAS,unb,136,1
GRNMAS,unb,138,2
GRNMAS,unb,209,1
GRNMAS,unb,210,1
GRNMAS,unb,212,2
GRNMAS,unb,213,1
GRNMAS,unb,214,1
GRNMAS,unb,215,5
GRNMAS,unb,216,3
GRNMAS,unb,217,2
GRNMAS,unb,218,1
GRNMAS,unb,219,1
GRNQUA,unb,100,1
GRNQUA,unb,109,1
GRNQUA,unb,112,1
GRNQUA,unb,113,3
GRNQUA,unb,114,8
GRNQUA,unb,115,4
GRNQUA,unb,116,4
GRNQUA,unb,117,15
GRNQUA,unb,118,13
GRNQUA,unb,119,16
GRNQUA,unb,120,16
