site,severity,evh,n
GRNCAR,unb,110,52
GRNCAR,unb,111,232
GRNDAM,unb,110,60
GRNDAM,unb,111,222
GRNHOU,unb,110,40
GRNHOU,unb,111,234
GRNKAN,unb,110,86
GRNKAN,unb,111,194
GRNMAS,unb,100,9
GRNMAS,unb,106,4
GRNMAS,unb,108,1
GRNMAS,unb,109,4
GRNMAS,unb,110,201
GRNMAS,unb,111,53
GRNQUA,unb,100,1
GRNQUA,unb,102,2
GRNQUA,unb,106,4
GRNQUA,unb,110,55
GRNQUA,unb,111,207
GRNSNO,unb,100,1
GRNSNO,unb,101,1
GRNSNO,unb,102,19
GRNSNO,unb,104,7
GRNSNO,unb,106,1
GRNSNO,unb,108,7
GRNSNO,unb,109,2
GRNSNO,unb,110,93
GRNSNO,unb,111,143
GRNTUR,unb,104,8
GRNTUR,unb,110,40
GRNTUR,unb,111,219
GRNWOO,unb,110,13
GRNWOO,unb,111,270
HIBADR,high,102,2
HIBADR,high,104,268
HIBADR,high,110,1
HIBADR,high,111,2
HICAMP,high,100,3
HICAMP,high,101,1
HICAMP,high,102,41
HICAMP,high,104,128
HICAMP,high,110,80
HICAMP,high,111,19
HICORN,high,104,269
HICORN,high,110,4
HICORN,high,111,4
HICOWS,high,104,271
HIDODD,high,102,4
HIDODD,high,104,266
HIDODD,high,110,5
HIDODD,high,111,1
HISHRU,high,102,31
HISHRU,high,104,241
HISHRU,high,111,2
HISQUE,high,102,7
HISQUE,high,104,233
HISQUE,high,110,11
HISQUE,high,111,19
HITEDD,high,102,45
HITEDD,high,104,216
HITEDD,high,110,9
HITEDD,high,111,4
HIWALK,high,102,1
HIWALK,high,104,270
HIWALK,high,110,2
MIXBUS,mod,104,14
MIXBUS,mod,108,31
MIXBUS,mod,109,1
MIXBUS,mod,110,10
MIXBUS,mod,111,217
MIXBUT,mod,100,1
MIXBUT,mod,102,39
MIXBUT,mod,104,25
MIXBUT,mod,108,1
MIXBUT,mod,110,65
MIXBUT,mod,111,147
MIXDP2,mod,100,4
MIXDP2,mod,101,2
MIXDP2,mod,104,366
MIXDP2,mod,108,8
MIXDP2,mod,110,174
MIXDP2,mod,111,118
MIXMID,mod,100,4
MIXMID,mod,104,33
MIXMID,mod,108,4
MIXMID,mod,109,3
MIXMID,mod,110,124
MIXMID,mod,111,110
MIXMIX,mod,102,2
MIXMIX,mod,104,8
MIXMIX,mod,110,25
MIXMIX,mod,111,236
MIXMOR,mod,102,2
MIXMOR,mod,104,4
MIXMOR,mod,108,1
MIXMOR,mod,109,1
MIXMOR,mod,110,210
MIXMOR,mod,111,54
MIXRAV,mod,102,1
MIXRAV,mod,104,30
MIXRAV,mod,108,2
MIXRAV,mod,110,35
MIXRAV,mod,111,208
MIXRIV,mod,104,22
MIXRIV,mod,110,46
MIXRIV,mod,111,209
MIXWAT,mod,102,1
MIXWAT,mod,104,25
MIXWAT,mod,109,1
MIXWAT,mod,110,49
MIXWAT,mod,111,194
