site,severity,evc,n
GRNCAR,unb,136,1
GRNCAR,unb,137,1
GRNCAR,unb,140,1
GRNCAR,unb,141,3
GRNCAR,unb,142,3
GRNCAR,unb,143,4
GRNCAR,unb,144,6
GRNCAR,unb,145,6
GRNCAR,unb,146,7
GRNCAR,unb,147,9
GRNCAR,unb,148,13
GRNCAR,unb,149,9
GRNCAR,unb,150,8
GRNCAR,unb,151,2
GRNCAR,unb,152,3
GRNCAR,unb,153,3
GRNCAR,unb,154,6
GRNCAR,unb,155,5
GRNCAR,unb,156,11
GRNCAR,unb,157,6
GRNCAR,unb,158,9
GRNCAR,unb,159,4
GRNCAR,unb,160,6
GRNCAR,unb,161,7
GRNCAR,unb,162,13
GRNCAR,unb,163,14
GRNCAR,unb,164,13
GRNCAR,unb,165,17
GRNCAR,unb,166,21
GRNCAR,unb,167,15
GRNCAR,unb,168,17
GRNCAR,unb,169,13
GRNCAR,unb,170,9
GRNCAR,unb,171,5
GRNCAR,unb,172,11
GRNCAR,unb,173,1
GRNCAR,unb,174,2
GRNDAM,unb,128,1
GRNDAM,unb,130,1
GRNDAM,unb,133,2
GRNDAM,unb,135,1
GRNDAM,unb,136,1
GRNDAM,unb,137,1
GRNDAM,unb,138,3
GRNDAM,unb,139,1
GRNDAM,unb,140,3
GRNDAM,unb,141,5
GRNDAM,unb,142,2
GRNDAM,unb,143,2
GRNDAM,unb,144,1
GRNDAM,unb,145,3
GRNDAM,unb,146,8
GRNDAM,unb,147,6
GRNDAM,unb,148,4
GRNDAM,unb,149,4
GRNDAM,unb,150,2
GRNDAM,unb,151,4
GRNDAM,unb,152,3
GRNDAM,unb,153,7
GRNDAM,unb,154,2
GRNDAM,unb,155,4
GRNDAM,unb,156,4
GRNDAM,unb,157,7
GRNDAM,unb,158,9
GRNDAM,unb,159,11
GRNDAM,unb,160,13
GRNDAM,unb,161,6
GRNDAM,unb,162,11
GRNDAM,unb,163,9
GRNDAM,unb,164,9
GRNDAM,unb,165,13
GRNDAM,unb,166,7
GRNDAM,unb,167,14
GRNDAM,unb,168,5
GRNDAM,unb,169,11
GRNDAM,unb,170,8
GRNDAM,unb,171,14
GRNDAM,unb,172,15
GRNDAM,unb,173,14
GRNDAM,unb,174,15
GRNDAM,unb,175,14
GRNDAM,unb,248,1
GRNDAM,unb,255,1
GRNHOU,unb,138,1
GRNHOU,unb,139,1
GRNHOU,unb,141,1
GRNHOU,unb,142,3
GRNHOU,unb,143,3
GRNHOU,unb,144,6
GRNHOU,unb,145,9
GRNHOU,unb,146,13
GRNHOU,unb,147,15
GRNHOU,unb,148,20
GRNHOU,unb,149,22
GRNHOU,unb,150,19
GRNHOU,unb,151,16
GRNHOU,unb,152,13
GRNHOU,unb,153,16
GRNHOU,unb,154,9
GRNHOU,unb,155,15
GRNHOU,unb,156,13
GRNHOU,unb,157,18
GRNHOU,unb,158,9
GRNHOU,unb,159,11
GRNHOU,unb,160,8
GRNHOU,unb,161,10
GRNHOU,unb,162,8
GRNHOU,unb,163,7
GRNHOU,unb,164,3
GRNHOU,unb,165,5
GRNKAN,unb,133,1
GRNKAN,unb,141,5
GRNKAN,unb,142,2
GRNKAN,unb,143,3
GRNKAN,unb,144,1
GRNKAN,unb,145,5
GRNKAN,unb,146,4
GRNKAN,unb,147,17
GRNKAN,unb,148,15
GRNKAN,unb,149,13
GRNKAN,unb,150,15
GRNKAN,unb,151,8
GRNKAN,unb,152,7
GRNKAN,unb,153,9
GRNKAN,unb,154,8
GRNKAN,unb,155,12
GRNKAN,unb,156,5
GRNKAN,unb,157,9
GRNKAN,unb,158,9
GRNKAN,unb,159,4
GRNKAN,unb,160,10
GRNKAN,unb,161,9
GRNKAN,unb,162,6
GRNKAN,unb,163,14
GRNKAN,unb,164,5
GRNKAN,unb,165,2
GRNKAN,unb,166,8
GRNKAN,unb,167,5
GRNKAN,unb,168,5
GRNKAN,unb,169,8
GRNKAN,unb,170,8
GRNKAN,unb,171,9
GRNKAN,unb,172,11
GRNKAN,unb,173,6
GRNKAN,unb,174,12
GRNKAN,unb,175,9
GRNKAN,unb,245,1
GRNMAS,unb,100,9
GRNMAS,unb,124,3
GRNMAS,unb,125,1
GRNMAS,unb,126,2
GRNMAS,unb,127,1
GRNMAS,unb,128,2
GRNMAS,unb,129,3
GRNMAS,unb,131,2
GRNMAS,unb,132,3
GRNMAS,unb,133,3
GRNMAS,unb,134,3
GRNMAS,unb,135,5
GRNMAS,unb,136,7
GRNMAS,unb,137,6
GRNMAS,unb,138,6
GRNMAS,unb,139,9
GRNMAS,unb,140,5
GRNMAS,unb,141,11
GRNMAS,unb,142,13
GRNMAS,unb,143,14
GRNMAS,unb,144,11
GRNMAS,unb,145,12
GRNMAS,unb,146,13
GRNMAS,unb,147,7
GRNMAS,unb,148,15
GRNMAS,unb,149,7
GRNMAS,unb,150,7
GRNMAS,unb,151,8
GRNMAS,unb,152,2
GRNMAS,unb,153,10
GRNMAS,unb,154,5
GRNMAS,unb,155,8
GRNMAS,unb,156,5
GRNMAS,unb,157,4
GRNMAS,unb,158,7
GRNMAS,unb,159,7
GRNMAS,unb,160,5
GRNMAS,unb,161,2
GRNMAS,unb,162,2
GRNMAS,unb,163,5
GRNMAS,unb,164,1
GRNMAS,unb,165,2
GRNMAS,unb,166,1
GRNMAS,unb,238,1
GRNMAS,unb,241,1
GRNMAS,unb,244,2
GRNMAS,unb,246,7
GRNMAS,unb,248,1
GRNMAS,unb,249,5
GRNMAS,unb,251,1
GRNQUA,unb,100,1
GRNQUA,unb,128,1
GRNQUA,unb,129,1
GRNQUA,unb,134,2
GRNQUA,unb,135,3
GRNQUA,unb,136,4
GRNQUA,unb,137,4
GRNQUA,unb,138,7
GRNQUA,unb,139,6
GRNQUA,unb,140,9
GRNQUA,unb,141,10
GRNQUA,unb,142,10
GRNQUA,unb,143,8
GRNQUA,unb,144,21
GRNQUA,unb,145,12
GRNQUA,unb,146,19
GRNQUA,unb,147,11
GRNQUA,unb,148,9
GRNQUA,unb,149,13
GRNQUA,unb,150,11
GRNQUA,unb,151,6
GRNQUA,unb,152,4
