site,severity,evc,n
GRNCAR,unb,101,2
GRNCAR,unb,102,7
GRNCAR,unb,103,16
GRNCAR,unb,104,24
GRNCAR,unb,105,34
GRNCAR,unb,106,128
GRNCAR,unb,107,73
GRNDAM,unb,102,1
GRNDAM,unb,103,17
GRNDAM,unb,104,27
GRNDAM,unb,105,36
GRNDAM,unb,106,65
GRNDAM,unb,107,123
GRNDAM,unb,108,13
GRNHOU,unb,104,24
GRNHOU,unb,105,121
GRNHOU,unb,106,127
GRNHOU,unb,107,2
GRNKAN,unb,102,1
GRNKAN,unb,103,13
GRNKAN,unb,104,103
GRNKAN,unb,105,49
GRNKAN,unb,106,31
GRNKAN,unb,107,77
GRNKAN,unb,108,2
GRNKAN,unb,115,4
GRNMAS,unb,100,9
GRNMAS,unb,101,3
GRNMAS,unb,102,46
GRNMAS,unb,103,71
GRNMAS,unb,104,95
GRNMAS,unb,105,33
GRNMAS,unb,106,10
GRNMAS,unb,107,1
GRNMAS,unb,114,1
GRNMAS,unb,115,3
GRNQUA,unb,100,1
GRNQUA,unb,102,2
GRNQUA,unb,103,39
GRNQUA,unb,104,81
GRNQUA,unb,105,126
GRNQUA,unb,106,14
GRNQUA,unb,114,4
GRNQUA,unb,115,2
GRNSNO,unb,100,1
GRNSNO,unb,102,8
GRNSNO,unb,103,46
GRNSNO,unb,104,61
GRNSNO,unb,105,103
GRNSNO,unb,106,39
GRNSNO,unb,107,2
GRNSNO,unb,114,14
GRNTUR,unb,102,2
GRNTUR,unb,103,15
GRNTUR,unb,104,82
GRNTUR,unb,105,100
GRNTUR,unb,106,66
GRNTUR,unb,107,2
GRNWOO,unb,103,1
GRNWOO,unb,104,19
GRNWOO,unb,105,21
GRNWOO,unb,106,123
GRNWOO,unb,107,119
HIBADR,high,103,4
HIBADR,high,104,36
HIBADR,high,105,69
HIBADR,high,106,142
HIBADR,high,107,20
HIBADR,high,111,1
HIBADR,high,114,1
HICAMP,high,100,3
HICAMP,high,102,4
HICAMP,high,103,33
HICAMP,high,104,87
HICAMP,high,105,69
HICAMP,high,106,63
HICAMP,high,107,6
HICAMP,high,111,1
HICAMP,high,114,3
HICAMP,high,115,2
HICAMP,high,116,1
HICORN,high,103,3
HICORN,high,104,9
HICORN,high,105,32
HICORN,high,106,210
HICORN,high,107,23
HICOWS,high,102,2
HICOWS,high,103,23
HICOWS,high,104,106
HICOWS,high,105,52
HICOWS,high,106,38
HICOWS,high,107,50
HIDODD,high,102,1
HIDODD,high,103,2
HIDODD,high,104,45
HIDODD,high,105,49
HIDODD,high,106,154
HIDODD,high,107,25
HISHRU,high,103,6
HISHRU,high,104,18
HISHRU,high,105,45
HISHRU,high,106,154
HISHRU,high,107,51
HISQUE,high,102,16
HISQUE,high,103,16
HISQUE,high,104,114
HISQUE,high,105,32
HISQUE,high,106,67
HISQUE,high,107,25
HITEDD,high,102,27
HITEDD,high,103,73
HITEDD,high,104,133
HITEDD,high,105,21
HITEDD,high,106,14
HITEDD,high,114,6
HIWALK,high,102,11
HIWALK,high,103,61
HIWALK,high,104,166
HIWALK,high,105,13
HIWALK,high,106,13
HIWALK,high,107,8
HIWALK,high,114,1
MIXBUS,mod,102,2
MIXBUS,mod,103,6
MIXBUS,mod,104,44
MIXBUS,mod,105,112
MIXBUS,mod,106,75
MIXBUS,mod,107,3
MIXBUS,mod,115,31
MIXBUT,mod,100,1
MIXBUT,mod,102,6
MIXBUT,mod,103,30
MIXBUT,mod,104,49
MIXBUT,mod,105,89
MIXBUT,mod,106,82
MIXBUT,mod,107,21
MIXDP2,mod,100,4
MIXDP2,mod,101,5
MIXDP2,mod,102,69
MIXDP2,mod,103,60
MIXDP2,mod,104,209
MIXDP2,mod,105,86
MIXDP2,mod,106,170
MIXDP2,mod,107,67
MIXDP2,mod,114,2
MIXMID,mod,100,4
MIXMID,mod,101,6
MIXMID,mod,102,44
MIXMID,mod,103,35
MIXMID,mod,104,56
MIXMID,mod,105,24
MIXMID,mod,106,91
MIXMID,mod,107,18
MIXMIX,mod,102,4
MIXMIX,mod,103,21
MIXMIX,mod,104,79
MIXMIX,mod,105,111
MIXMIX,mod,106,53
MIXMIX,mod,107,1
MIXMIX,mod,122,2
MIXMOR,mod,102,41
MIXMOR,mod,103,99
MIXMOR,mod,104,75
MIXMOR,mod,105,47
MIXMOR,mod,106,5
MIXMOR,mod,107,3
MIXMOR,mod,122,2
MIXRAV,mod,101,5
MIXRAV,mod,102,10
MIXRAV,mod,103,8
MIXRAV,mod,104,79
MIXRAV,mod,105,143
MIXRAV,mod,106,31
MIXRIV,mod,102,2
MIXRIV,mod,103,8
MIXRIV,mod,104,28
MIXRIV,mod,105,51
MIXRIV,mod,106,166
MIXRIV,mod,107,22
MIXWAT,mod,102,1
MIXWAT,mod,103,10
MIXWAT,mod,104,16
MIXWAT,mod,105,39
MIXWAT,mod,106,87
MIXWAT,mod,107,108
MIXWAT,mod,108,8
MIXWAT,mod,114,1
